Reviews,Sentiment
 London to Boston. I was seated next to a customer who was needed an extra seat. The flight attendant was extremely nice and helpful and ensured I was comfortable throughout the flight. Superb Customer Service.,Positive
 Stockholm to London. Standard configuration on short haul European flights. Business class still 3 seats each side of the isle. Middle seat fitted with a tray. Had a wonderful crew with 2 super professional stewards in business. Drinks served with a smile and the food also. Food reminding of what was served in economy 10 years ago when there still was free there. The best part of the meal was the cheese and pudding.,Positive
 Amsterdam to London arrived 33 minutes late  three delays  taking off  landing  and getting the walkway to the airplane. This has happened twice this year. I fly KLM 90 of the time on this route and am delayed very rarely. I fly British on this route  when it is significantly cheaper but am delayed. Im sure its bad luck but if you do better than double the flight time you are having a good day.,Positive
 Buenos Aires to London. We flew overnight Friday 9th November. The plane seating is worn out and uncomfortable  there were large numbers or Argentinian passengers on the plane yet I saw no staff that spoke Spanish. The chicken dinner was described as Curry but there was no sauce on it. The bread roll was stale and dessert stodgy  During the night no water was offered to me. It was not possible to charge electronic equipment  the seatback screens were small with a limited choice of entertainment.,Negative
 Business Class space is ridiculously narrow. Service is very careless. You are not allowed laptops on the flight from Riyadh  so you cannot work if you want to. You cannot choose when to eat.,Negative
 Aberdeen to Heathrow to connect to a flight in Gatwick the day after. During checkin using the BA app  there was a problem that I had to restart  after that when I opened noted that the boarding pass was issued not allowing me to add a bag in the hold. After calling BA and explaining the situation was told that the option was to pay 65 at the airport desk. What a rip off for a short flight. By curiosity I checked with Easyjet and if I had booked with them for the same day would had cost me the same to fly as the money BA asked for the bag.,Positive
 I would not recommend this airline. I travel a lot for work and get to fly different airlines so have a good base to compare it to. Baggage Allowance Only give you 23kgs of checked baggage and if you are 1 kg over regardless if your other bags with your other travel companions are under you have to pay 170AUD extra. This is the strictest airline I have ever used. All other airlines have allowed up to 5kgs over at no charge. Ensure you have preweighed all bags. Inflight meal On the way to Sydney  they served soggy squashed sandwiches as a meal. It is an 8 hour flight Make sure you pack your own snacksmeal. You dont get a bottle of water and they rarely serve drinks. Make sure you prepack a bottle or two once you are through customs. Customer service From the get go the customer service was appalling. It is hard enough traveling with kids  but having to deal with BA was stressful. They wouldnt allow me to swap my ticket with my husband as we were traveling with my kids and I had a slight delay which meant I couldnt go on the same flight. At the airport  they couldnt find my childrens booking which caused further delay and stress. How do you misplace 4 kids on the same booking They then put my husband in a seat not with all of us and wouldnt do anything to help change this. We had to ask the person next to my kids once on the plane on our own. Dont bother flying BA.,Positive
 New York to Budapest via London. The second flight was a bit different. The plane was clean  but cold. I wanted to drink water  but the cabin crew does not accepted my request. By mistake the captain welcomed the passengers to Bucharest and not Budapest.,Negative
 Heathrow to Athens on A321. Arrived at the airport in time and bag drop was an ease. Got to the gate within 30mins of bag drop with light security queues. On the aircraft  there was sufficient seat legroom for my seat 7F.  A funny safety video played and the flight was smooth. No food was served  except some MS  BBC news was playing on the screens  with no sound and Russian captions  quite confusing. The plane landed half an hour late  but it was the best landing I have ever experienced.,Positive
 London to Bangkok. I am not a fan if the BA configuration in Business. However I did have seat 2J so it was right up front. I am not sure where to begin. Food awful  I ordered beef a showcase of British beef the notes said that was inedible I left most of it. Instead of asking was something wrong or would I like another meal option  the FA took the tray away and asked if I wanted dessert. Wine 2 reds 2 whites and 2 champagnes  hardly a stellar wine list. Entertainment small screen with dreadful resolution and a very limited ordinary range of options. Staff challenged at best  clearly some had not been in business before. Disengaged and disinterested. The cabin was over hill for me. The toilet was not checked very often  a sweet wrapper remained on the toilet floor the entire trip as did an overflowing rubbish bin. I would expect much better up the front of the plane we pay a premium to be there and the service and overall product do not match expectations.,Negative
 Abu Dhabi to London. Although a BA flight  this sector was operated by Air Belgium and offered a really poor experience. Aircraft felt old and tired  cabin crew were totally indifferent  cabin temperature was too hot and stuffy and food totally inedible. A really awful flight and worth looking at alternatives if you need to fly this route in the near future.,Negative
 Gatwick to Orlando. Stains on the seat  cotton buds in the seat well. Disgusting and had to force them to clean. No entertainment on board  it was not functional. Internet available at three times Emirates price and twice AA flight and speed that wont achieve streaming. When I complained to BA they told me I couldnt communicate with the CEO but I could connect with their customer relations. I have been Gold on BA for thirty years and its time to ditch this non responsive airline.,Negative
 Newcastle to Las Vegas via London. Both my flights were great  on time and the food was good on the flight to London  and a nice bottle of champagne as well. My long haul flight was also good  aircraft was 20yrs old but clean  cabin crew were very nice  friendly and efficient  my pre ordered meal was absolutely fantastic  the only complaint I can have is the in flight entertainment needs to be improved  ie  try showing some classic British comedy programmes instead of the unfunny modern stuff  and also include some good classic rock music that people have actually heard of  apart from that  absolutely great  well recommended.,Positive
 While it is still fresh in my mind  Id like to commend the hard working crew of my BA flight from St.Petersburg to London Heathrow on 23rd October 2018. The checkin staff were very professional and helpful and assisted me with a query. Boarding was operated remarkably efficiently and in a precise and orderly manner. The cabin crew were welcoming and very professional in their appearance and demeanor too. The cabin was spotlessly clean and the flight departed on time and arrived slightly early. The captain was informative. My only gripe was the lack of a route map on this flight and the MS buy on board option was a bit tedious. Disembarkation was equally well managed and passengers were fare welled in a courteous and sincere way. This flight has restored my faith in BA. Well done to the superb crew,Positive
 London to Philadelphia. I upgraded from coach to business for almost 900 because I  wanted to experience BAs business class in the Boeing 787  but I was disappointed. While the aircraft was new  the staff really could have cared less about the business guests. 232 in business with some seats facing the cockpit and others the tail. BA lost me as a traveler because the crew although polite  service wise was lacking. Preflight they offer you a beverage  I asked for rose champagne and I was told I guess I have to go find a bottle and open one. In my previous business class experiences there are beverages served every 2 hours  not on this almost 8 hour flight. I was served my main meal almost 2.5 hours after takeoff. You get one full hot meal and a snack one hour and a half before landing. You also get an initial beverage and then the next time a beverage is offered is 1.5 hours before landing. If you ask for anything else to drink in between you have to go into the galley. Yes they have the menu  linen  silverware and glass but you feel like they just have to do this for you and not like they want to do this for you. Because of the extra seat they cram into business now they are all very narrow and really uncomfortable. There was virtually no storage other than a small laptop droor and thats it. I have to say the entertainment options were very good and there was no WiFi on this flight. You get a pillow  duvet and blanket and a decent amenity kit. BA has the new planes  and decent business amenities however they lost me in the service. I will not pay to upgrade to business on BA and will avoid flying with them if I have another option. They need to improve when it comes to inflight experiences and treatment specially for their business class travelers.,Positive
 Madrid to London. Good improvement. This BA club Europe flight was on a B777 so seats were flat beds. BA have updated their menus so instead of serving a sandwich they offered a full meal service. Three choices of main and food was good quality. Good BA listened to feedback. They were as always let down by their Iberia partners in that their Madrid business lounge was abysmal as usual. With no toilets available and the lone tortilla as the unique culinary offering along with dirty tables,Positive
 London to Munich. The ground staff were very friendly and the plane was clean. Once boarding was completed we were informed that due to issues with the tower the flight would be delayed by 40 minutes. They hadnt finished loading the baggage and this was clear from the view out of the window  where you could see bags still arriving and being loaded after our scheduled departure. Aircrew were functional but this must have been the last flight of the day and you noticed it. Flight was uneventful they had the flight tracking screen down for 30 minutes before they retracted. Other than being lied to as to the reason for the delay the flight offered the minimum required.,Positive
 London to Cape Town.  Waiting at gate  the staff announced flight will be delayed because cabin temperature is too high. Air conditioning problem on board. She said all doors of aircraft have been opened  lights dimmed or switched off to decrease temperature  boarding will start as soon as possible. Finally one hour after take off temperature became acceptable.,Positive
 Full flight from MUC to LHR with British Airways. On the plus side the ground and cabin crew are very friendly  so is the baggage allowance  plane although not new was clean. You have to pay for your food and beverages on board short haul flights. The departure was delayed by 45 minutes and a further delay on arrival for a total of 55 minutes later than expected. We also parked at a gate at the very far end of T5. The plus side of all the walking was that the luggage was there waiting for us. Service as expected for the price and that would be the reason for choosing them again. When traveling with an infant the delays tend to compound matters.,Positive
 Manchester to Philadelphia via London. MANLHR I am not tall so the Club Europe seating is fine for me on a short flight. Addressed by name  adequate breakfast of bacon roll  fruit and yoghurt. Concorde Room not crowded and no wait for showers. LHRPHL on aged 747 but still my favorite  cabinwashrooms in very good shape though. I have no problem with the BA F layout unlike so many posters here. Excellent flight  experienced crew and though full cabin  all very smooth and professional. Beautifully prepared and presented lamb shank  good wines as always  nice to see a good British bubbly included. Only downside was deplaning in PHL where F passengers had to fight their way off through the J scrum  could have been controlled by crew  but was not.,Positive
 Bangkok to London. Seating and interior old with a very small IFE screen. I did not like the meals. Had a short connection and i was rebooked from another partner. Upon arrival in LHR others for the same connecting flight were awaited but not me. I was told there would be service agents in purple everywhere but I found none. The fast track security was non existant. Total experience was bad.,Negative
